gene,subtype,position.in.gene,simulated.coverage,mean.copy.number,standard.deviation,min,max,range
NBPF20,HLS3,16.0,90.0,4.66,0.49,3.99,5.2,1.21
NBPF20,HLS3,17.0,30.0,1.87,0.36,1.5,2.48,0.98
NBPF20,HLS3,17.0,60.0,3.7,0.61,2.78,4.66,1.8800000000000003
NBPF20,HLS3,17.0,90.0,4.62,0.37,3.96,5.26,1.2999999999999998
NBPF20,HLS3,18.0,30.0,1.6,0.09,1.46,1.71,0.25
NBPF20,HLS3,18.0,60.0,3.1,0.32,2.7,3.63,0.9299999999999997
NBPF20,HLS3,18.0,90.0,4.33,0.29,3.89,4.87,0.98
NBPF20,HLS3,19.0,30.0,1.68,0.16,1.46,1.89,0.42999999999999994
NBPF20,HLS3,19.0,60.0,3.36,0.49,2.92,4.2,1.2800000000000002
NBPF20,HLS3,19.0,90.0,4.41,0.43,3.8,5.08,1.2800000000000002
NBPF20,HLS3,20.0,30.0,1.79,0.27,1.33,2.16,0.8300000000000001
NBPF20,HLS3,20.0,60.0,2.93,0.27,2.62,3.43,0.81
NBPF20,HLS3,20.0,90.0,4.77,0.52,4.19,5.86,1.67
NBPF20,HLS3,21.0,30.0,1.65,0.18,1.31,1.91,0.5999999999999999
NBPF20,HLS3,21.0,60.0,2.99,0.27,2.66,3.47,0.81
NBPF20,HLS3,21.0,90.0,4.73,0.7,4.2,6.56,2.3599999999999994
NBPF20,HLS3,22.0,30.0,2.14,0.61,1.51,3.57,2.0599999999999996
NBPF20,HLS3,22.0,60.0,3.15,0.35,2.71,3.71,1.0
NBPF20,HLS3,22.0,90.0,4.71,0.7,3.89,6.08,2.19
NBPF25P,CON1,1.0,30.0,1.58,0.16,1.39,1.85,0.4600000000000002
NBPF25P,CON1,1.0,60.0,3.27,0.26,3.06,3.84,0.7799999999999998
NBPF25P,CON1,1.0,90.0,4.93,0.27,4.45,5.28,0.8300000000000001
NBPF25P,CON3,1.0,30.0,1.63,0.11,1.43,1.82,0.3900000000000001
NBPF25P,CON3,1.0,60.0,3.25,0.12,3.1,3.44,0.33999999999999986
NBPF25P,CON3,1.0,90.0,4.94,0.23,4.66,5.32,0.6600000000000001
NBPF25P,HLS1,1.0,30.0,1.67,0.17,1.51,2.04,0.53
NBPF25P,HLS1,1.0,60.0,3.3,0.48,2.61,4.35,1.7399999999999998
NBPF25P,HLS1,1.0,90.0,5.15,0.45,4.7,6.21,1.5099999999999998
NBPF25P,HLS1,2.0,30.0,1.67,0.13,1.53,1.84,0.31000000000000005
NBPF25P,HLS1,2.0,60.0,3.19,0.23,2.86,3.52,0.6600000000000001
NBPF25P,HLS1,2.0,90.0,4.83,0.37,4.25,5.58,1.33
NBPF25P,HLS3,1.0,30.0,1.57,0.15,1.36,1.87,0.51
NBPF25P,HLS3,1.0,60.0,3.3,0.34,3.01,4.11,1.1000000000000005
NBPF25P,HLS3,1.0,90.0,4.73,0.29,4.17,5.07,0.9000000000000004
NBPF26,CON1,1.0,30.0,1.61,0.38,1.35,2.59,1.2399999999999998
NBPF26,CON1,1.0,60.0,3.03,0.27,2.66,3.45,0.79
NBPF26,CON1,1.0,90.0,4.54,0.23,4.35,5.08,0.7300000000000004
NBPF26,CON1,2.0,30.0,1.28,0.15,0.99,1.52,0.53
NBPF26,CON1,2.0,60.0,2.52,0.23,2.25,2.84,0.5899999999999999
NBPF26,CON1,2.0,90.0,3.72,0.33,3.16,4.16,1.0
NBPF26,CON2,1.0,30.0,1.44,0.1,1.28,1.55,0.27
NBPF26,CON2,1.0,60.0,2.65,0.07,2.52,2.73,0.20999999999999996
NBPF26,CON2,1.0,90.0,4.04,0.25,3.51,4.26,0.75
NBPF26,CON3,1.0,30.0,1.67,0.12,1.51,1.86,0.3500000000000001
NBPF26,CON3,1.0,60.0,3.1,0.26,2.82,3.56,0.7400000000000002
NBPF26,CON3,1.0,90.0,4.54,0.2,4.25,4.86,0.6100000000000003
NBPF26,HLS1,1.0,30.0,1.55,0.06,1.4,1.61,0.2100000000000002
NBPF26,HLS1,1.0,60.0,3.26,0.3,2.78,3.77,0.9900000000000002
NBPF26,HLS1,1.0,90.0,4.7,0.23,4.34,5.02,0.6799999999999997
NBPF26,HLS1,2.0,30.0,1.34,0.12,1.08,1.47,0.3899999999999999
NBPF26,HLS1,2.0,60.0,2.76,0.18,2.5,3.02,0.52
NBPF26,HLS1,2.0,90.0,4.09,0.11,3.91,4.28,0.3700000000000001
NBPF26,HLS2,1.0,30.0,1.27,0.13,1.09,1.47,0.3799999999999999
NBPF26,HLS2,1.0,60.0,2.43,0.27,2.04,2.81,0.77
NBPF26,HLS2,1.0,90.0,3.43,0.27,2.99,3.83,0.8399999999999999
NBPF26,HLS2,2.0,30.0,1.22,0.11,1.07,1.38,0.30999999999999983
NBPF26,HLS2,2.0,60.0,2.38,0.28,1.92,2.66,0.7400000000000002
NBPF26,HLS2,2.0,90.0,3.67,0.39,3.04,4.48,1.4400000000000004
NBPF26,HLS3,1.0,30.0,0.67,0.11,0.53,0.9,0.37
NBPF26,HLS3,1.0,60.0,1.32,0.15,1.21,1.69,0.48
NBPF26,HLS3,1.0,90.0,1.64,0.32,1.11,2.03,0.9199999999999997
NBPF26,HLS3,2.0,30.0,0.84,0.14,0.61,1.06,0.45000000000000007
NBPF26,HLS3,2.0,60.0,1.19,0.41,0.49,1.79,1.3
NBPF26,HLS3,2.0,90.0,2.29,0.31,1.83,2.85,1.02
NBPF26,HLS3,3.0,30.0,0.81,0.15,0.63,1.07,0.44000000000000006
NBPF26,HLS3,3.0,60.0,1.87,0.3,1.47,2.37,0.9000000000000001
NBPF26,HLS3,3.0,90.0,2.75,0.34,2.19,3.09,0.8999999999999999
NBPF2P,CON3,1.0,30.0,1.99,0.14,1.74,2.17,0.42999999999999994
NBPF2P,CON3,1.0,60.0,3.73,0.16,3.47,3.93,0.45999999999999996
NBPF2P,CON3,1.0,90.0,5.75,0.28,5.32,6.15,0.8300000000000001
NBPF2P,HLS3,1.0,30.0,1.77,0.15,1.53,2.0,0.47
NBPF2P,HLS3,1.0,60.0,3.48,0.23,3.07,3.7,0.6300000000000003
NBPF2P,HLS3,1.0,90.0,5.1,0.24,4.72,5.39,0.6699999999999999
NBPF3,CON1,1.0,30.0,1.64,0.11,1.47,1.83,0.3600000000000001
NBPF3,CON1,1.0,60.0,3.2,0.31,2.71,3.64,0.9300000000000002
NBPF3,CON1,1.0,90.0,4.95,0.22,4.61,5.4,0.79
NBPF3,CON2,1.0,30.0,1.94,0.1,1.8,2.09,0.2899999999999998
NBPF3,CON2,1.0,60.0,3.88,0.14,3.69,4.11,0.4200000000000004
NBPF3,CON2,1.0,90.0,5.76,0.14,5.59,6.04,0.4500000000000002
NBPF3,CON3,1.0,30.0,1.76,0.11,1.57,1.92,0.34999999999999987
NBPF3,CON3,1.0,60.0,3.63,0.07,3.54,3.77,0.22999999999999998
NBPF3,CON3,1.0,90.0,5.41,0.19,5.11,5.69,0.5800000000000001
NBPF3,HLS3,1.0,30.0,1.71,0.12,1.54,1.88,0.33999999999999986
NBPF3,HLS3,1.0,60.0,3.29,0.23,3.06,3.85,0.79
NBPF3,HLS3,1.0,90.0,5.51,0.88,4.96,7.81,2.8499999999999996
NBPF4,CON1,1.0,30.0,1.92,0.15,1.68,2.13,0.44999999999999996
NBPF4,CON1,1.0,60.0,3.65,0.17,3.27,3.85,0.5800000000000001
NBPF4,CON1,1.0,90.0,5.43,0.28,4.78,5.77,0.9899999999999993
NBPF5P,CON1,1.0,30.0,1.77,0.15,1.53,2.06,0.53
NBPF5P,CON1,1.0,60.0,3.59,0.05,3.49,3.64,0.1499999999999999
NBPF5P,CON1,1.0,90.0,5.33,0.19,4.94,5.63,0.6899999999999995
NBPF6,CON1,1.0,30.0,1.79,0.16,1.57,2.02,0.44999999999999996
NBPF6,CON1,1.0,60.0,3.61,0.22,3.13,3.92,0.79
NBPF6,CON1,1.0,90.0,5.33,0.24,4.95,5.68,0.7299999999999995
NBPF7,CON1,1.0,30.0,1.92,0.27,1.58,2.49,0.9100000000000001
NBPF7,CON1,1.0,60.0,3.6,0.25,3.25,3.98,0.73
NBPF7,CON1,1.0,90.0,5.48,0.37,4.9,6.09,1.1899999999999995
NBPF8,CON1,1.0,30.0,1.53,0.23,1.13,1.9,0.77
NBPF8,CON1,1.0,60.0,2.98,0.34,2.21,3.3,1.0899999999999999
NBPF8,CON1,1.0,90.0,4.67,0.44,3.72,5.26,1.5399999999999996
NBPF8,CON1,2.0,30.0,1.69,0.2,1.32,2.04,0.72
NBPF8,CON1,2.0,60.0,3.09,0.12,2.92,3.25,0.33000000000000007
NBPF8,CON1,2.0,90.0,4.87,0.29,4.41,5.44,1.0300000000000002
NBPF8,CON1,3.0,30.0,1.03,0.17,0.69,1.34,0.6500000000000001
NBPF8,CON1,3.0,60.0,2.01,0.14,1.82,2.18,0.3600000000000001
NBPF8,CON1,3.0,90.0,2.95,0.26,2.45,3.27,0.8199999999999998
NBPF8,CON2,1.0,30.0,1.17,0.07,1.1,1.32,0.21999999999999997
NBPF8,CON2,1.0,60.0,2.2,0.08,2.08,2.36,0.2799999999999998
NBPF8,CON2,1.0,90.0,3.15,0.24,2.88,3.59,0.71
NBPF8,CON3,1.0,30.0,1.24,0.08,1.13,1.35,0.2200000000000002
NBPF8,CON3,1.0,60.0,2.53,0.09,2.41,2.67,0.2599999999999998
NBPF8,CON3,1.0,90.0,3.65,0.17,3.45,4.0,0.5499999999999998
NBPF8,HLS1,1.0,30.0,1.65,0.2,1.32,1.99,0.6699999999999999
NBPF8,HLS1,1.0,60.0,3.25,0.34,2.81,3.82,1.0099999999999998
NBPF8,HLS1,1.0,90.0,4.72,0.27,4.3,5.11,0.8100000000000005
NBPF8,HLS2,1.0,30.0,1.0,0.08,0.86,1.1,0.2400000000000001
NBPF8,HLS2,1.0,60.0,2.1,0.13,1.83,2.25,0.41999999999999993
NBPF8,HLS2,1.0,90.0,3.15,0.24,2.7,3.52,0.8199999999999998
NBPF8,HLS3,1.0,30.0,1.39,0.13,1.11,1.57,0.45999999999999996
NBPF8,HLS3,1.0,60.0,2.62,0.25,2.19,2.92,0.73
NBPF8,HLS3,1.0,90.0,4.23,0.43,3.3,4.64,1.3399999999999999
NBPF9,CON1,1.0,30.0,1.53,0.09,1.38,1.66,0.28
NBPF9,CON1,1.0,60.0,3.27,0.48,2.79,4.43,1.6399999999999997
NBPF9,CON1,1.0,90.0,4.69,0.27,4.13,4.95,0.8200000000000003
NBPF9,CON1,2.0,30.0,1.23,0.12,1.07,1.4,0.32999999999999985
NBPF9,CON1,2.0,60.0,2.56,0.23,2.27,2.96,0.69
NBPF9,CON1,2.0,90.0,3.76,0.22,3.27,4.05,0.7799999999999998
NBPF9,CON2,1.0,30.0,1.37,0.09,1.22,1.5,0.28
NBPF9,CON2,1.0,60.0,2.82,0.12,2.63,2.94,0.31000000000000005
NBPF9,CON2,1.0,90.0,4.09,0.13,3.87,4.3,0.4299999999999997
NBPF9,CON3,1.0,30.0,1.2,0.09,1.06,1.31,0.25
NBPF9,CON3,1.0,60.0,2.47,0.14,2.21,2.65,0.43999999999999995
NBPF9,CON3,1.0,90.0,3.54,0.15,3.3,3.78,0.48
NBPF9,HLS1,1.0,30.0,1.27,0.18,1.02,1.59,0.5700000000000001
NBPF9,HLS1,1.0,60.0,2.46,0.12,2.19,2.56,0.3700000000000001
NBPF9,HLS1,1.0,90.0,3.53,0.52,2.52,4.23,1.7100000000000004
NBPF9,HLS2,1.0,30.0,1.32,0.09,1.2,1.44,0.24
NBPF9,HLS2,1.0,60.0,2.79,0.39,2.44,3.58,1.1400000000000001
NBPF9,HLS2,1.0,90.0,3.97,0.18,3.64,4.23,0.5900000000000003
NBPF9,HLS3,1.0,30.0,1.13,0.18,0.91,1.45,0.5399999999999999
NBPF9,HLS3,1.0,60.0,2.26,0.3,1.78,2.7,0.9200000000000002
NBPF9,HLS3,1.0,90.0,3.12,0.29,2.56,3.46,0.8999999999999999
NBPF9,HLS3,2.0,30.0,0.77,0.14,0.51,0.95,0.43999999999999995
NBPF9,HLS3,2.0,60.0,1.5,0.17,1.25,1.76,0.51
NBPF9,HLS3,2.0,90.0,2.11,0.16,1.78,2.32,0.5399999999999998
